customer_id,customer_name,account_number,industry,customer_tier,billing_location_id,contact_email,credit_limit_aud,payment_terms_days,onboarded_date,account_manager_staff_id,is_active
74,Yarra Holdings,MFG000074,Healthcare,Bronze,40,accounts@yarra36.com.au,25000,30,2024-01-12,15,1
75,Mallee Warehousing,MFG000075,Retail,Gold,14,accounts@mallee4.com.au,250000,45,2020-12-31,97,1
76,Blackwood Exports,MFG000076,FMCG,Silver,11,accounts@blackwood32.com.au,100000,30,2022-04-16,12,1
77,Bellarine Retail Group,MFG000077,Retail,Gold,26,accounts@bellarine89.com.au,25000,30,2021-12-05,64,1
78,Torrens Warehousing,MFG000078,Automotive,Gold,27,accounts@torrens92.com.au,100000,30,2019-03-20,35,1
79,Grampians Foods,MFG000079,Electronics,Gold,47,accounts@grampians89.com.au,250000,45,2022-07-17,238,1
80,Arnhem Partners,MFG000080,FMCG,Silver,37,accounts@arnhem23.com.au,50000,14,2018-03-30,15,1
81,Nullarbor Partners,MFG000081,Healthcare,Gold,24,accounts@nullarbor9.com.au,100000,30,2018-10-15,177,1
82,Barossa Foods,MFG000082,Construction,Bronze,49,accounts@barossa58.com.au,25000,30,2019-10-01,177,1
83,Coolabah Warehousing,MFG000083,Apparel,Platinum,50,accounts@coolabah37.com.au,250000,30,2021-10-24,146,1
84,Mornington Solutions,MFG000084,Hospitality,Bronze,23,accounts@mornington33.com.au,250000,14,2018-06-07,171,1
85,Banksia Partners,MFG000085,,Bronze,30,accounts@banksia46.com.au,100000,30,2023-11-11,167,1
86,Derwent Manufacturing,MFG000086,FMCG,Silver,1,accounts@derwent61.com.au,50000,30,2020-07-27,104,1
87,Torrens Provisions,MFG000087,Industrial,Gold,39,accounts@torrens62.com.au,100000,60,2018-01-19,30,1
88,Torrens Freight Services,MFG000088,Mining Services,Platinum,28,accounts@torrens95.com.au,250000,30,2019-03-15,56,1
89,Nullarbor Imports,MFG000089,Construction,Bronze,15,accounts@nullarbor5.com.au,25000,30,2021-06-01,227,1
90,Murray Holdings,MFG000090,Retail,Silver,47,accounts@murray94.com.au,100000,14,2019-03-20,15,1
91,Grampians Retail Group,MFG000091,Automotive,Silver,13,accounts@grampians55.com.au,500000,14,2020-01-03,223,1
92,Kimberley Solutions,MFG000092,Agriculture,Gold,32,accounts@kimberley98.com.au,25000,60,2019-05-02,238,1
93,Bellarine Holdings,MFG000093,,Silver,44,accounts@bellarine35.com.au,25000,30,2023-12-24,190,1
94,Banksia Enterprises,MFG000094,Healthcare,Silver,41,accounts@banksia63.com.au,250000,45,2020-05-12,178,1
95,Nullarbor Industries,MFG000095,Mining Services,Gold,10,accounts@nullarbor64.com.au,25000,14,2021-12-09,190,1
96,Redgum Warehousing,MFG000096,Construction,Silver,16,accounts@redgum92.com.au,100000,30,2020-05-26,132,1
97,Barossa Distribution,MFG000097,Automotive,Bronze,43,accounts@barossa29.com.au,1000000,30,2020-01-07,132,1
98,Hunter Imports,MFG000098,Hospitality,Bronze,35,accounts@hunter49.com.au,250000,30,2020-04-06,146,1
99,Gippsland Group,MFG000099,Grocery,Silver,41,accounts@gippsland48.com.au,500000,30,2024-02-23,12,1
100,Torrens Components,MFG000100,Grocery,Silver,23,accounts@torrens99.com.au,25000,30,2023-04-14,68,1
101,Murray Provisions,MFG000101,FMCG,Gold,5,accounts@murray89.com.au,100000,60,2022-08-23,29,1
102,Riverina Partners,MFG000102,Hospitality,Gold,6,accounts@riverina49.com.au,100000,60,2021-07-08,146,1
103,Kimberley Commodities,MFG000103,Hospitality,Bronze,12,accounts@kimberley62.com.au,100000,60,2022-07-20,207,1
104,Riverina Merchants,MFG000104,Agriculture,Bronze,16,accounts@riverina7.com.au,250000,60,2020-12-08,104,1
105,Banksia Industries,MFG000105,Automotive,Silver,10,accounts@banksia55.com.au,500000,30,2019-01-20,108,1
106,Blackwood Industries,MFG000106,Apparel,Bronze,27,accounts@blackwood18.com.au,25000,45,2020-12-27,206,1
107,Bellarine Logistics Partners,MFG000107,Apparel,Gold,38,accounts@bellarine47.com.au,25000,45,2021-09-28,178,1
108,Arnhem Traders,MFG000108,Grocery,Silver,9,accounts@arnhem53.com.au,25000,60,2023-05-23,29,1
109,Banksia Freight Services,MFG000109,Retail,Gold,23,accounts@banksia20.com.au,50000,45,2020-02-22,84,1
110,Swan Foods,MFG000110,Agriculture,Bronze,42,accounts@swan82.com.au,250000,14,2023-09-21,84,1
111,Bellarine Group,MFG000111,Automotive,Bronze,2,accounts@bellarine41.com.au,50000,14,2018-10-21,90,1
112,Harbour Group,MFG000112,Industrial,Bronze,5,accounts@harbour72.com.au,100000,30,2018-04-13,104,1
113,Kakadu Traders,MFG000113,Grocery,Gold,22,accounts@kakadu3.com.au,25000,14,2023-12-23,223,1
114,Mornington Freight Services,MFG000114,Construction,Silver,2,accounts@mornington92.com.au,25000,30,2023-01-01,5,1
115,Tanami Agencies,MFG000115,Grocery,Bronze,41,accounts@tanami45.com.au,50000,30,2023-03-17,29,1
116,Pilbara Manufacturing,MFG000116,Apparel,Bronze,44,accounts@pilbara30.com.au,100000,60,2019-10-15,171,1
117,Kakadu Freight Services,MFG000117,Healthcare,Silver,10,accounts@kakadu48.com.au,100000,60,2023-05-10,90,1
118,Blackwood Imports,MFG000118,Electronics,Bronze,33,accounts@blackwood56.com.au,25000,45,2018-12-06,178,1
119,Gippsland Industries,MFG000119,Healthcare,Bronze,6,accounts@gippsland73.com.au,25000,30,2020-01-20,68,1
120,Harbour Wholesale,MFG000120,Construction,Bronze,20,accounts@harbour72.com.au,500000,30,2021-06-04,29,1
121,Hunter Commodities,MFG000121,,Bronze,14,accounts@hunter51.com.au,250000,30,2021-11-02,108,1
122,Mornington Group,MFG000122,FMCG,Platinum,27,accounts@mornington51.com.au,50000,30,2021-09-08,190,1
123,Blackwood Merchants,MFG000123,Hospitality,Platinum,32,accounts@blackwood73.com.au,1000000,30,2020-08-28,234,1
124,Gippsland Wholesale,MFG000124,Electronics,Bronze,46,accounts@gippsland88.com.au,500000,30,2023-01-23,56,1
125,Bellarine Supply Co,MFG000125,Grocery,Bronze,9,accounts@bellarine55.com.au,100000,45,2021-12-17,167,1
126,Flinders Commodities,MFG000126,Apparel,Bronze,6,accounts@flinders18.com.au,25000,30,2018-04-15,256,1
127,Murray Distribution,MFG000127,,Gold,43,accounts@murray13.com.au,100000,30,2020-03-19,14,1
128,Grampians Components,MFG000128,Grocery,Gold,29,accounts@grampians74.com.au,25000,30,2019-05-21,234,1
129,Mornington Imports,MFG000129,Healthcare,Silver,10,accounts@mornington96.com.au,50000,30,2024-02-12,146,1
130,Riverina Holdings,MFG000130,Electronics,Bronze,5,accounts@riverina11.com.au,250000,60,2020-10-09,12,1
131,Nullarbor Commodities,MFG000131,Agriculture,Silver,7,accounts@nullarbor57.com.au,500000,14,2022-11-30,178,1
132,Tanami Industries,MFG000132,Construction,Gold,26,accounts@tanami66.com.au,25000,30,2019-09-20,208,1
133,Mallee Imports,MFG000133,Hospitality,Bronze,31,accounts@mallee14.com.au,100000,14,2019-02-22,90,1
134,Murray Enterprises,MFG000134,Apparel,Gold,15,accounts@murray47.com.au,250000,30,2023-10-12,123,1
135,Kakadu Partners,MFG000135,Retail,Silver,26,accounts@kakadu71.com.au,250000,30,2019-06-17,86,1
136,Harbour Industries,MFG000136,,Bronze,43,accounts@harbour65.com.au,50000,14,2020-02-15,207,1
137,Torrens Distribution,MFG000137,Hospitality,Platinum,50,accounts@torrens65.com.au,100000,45,2022-08-04,97,1
138,Brisbane River Merchants,MFG000138,FMCG,Silver,21,accounts@brisbane40.com.au,100000,30,2023-07-13,208,1
139,Redgum Partners,MFG000139,Mining Services,Gold,4,accounts@redgum78.com.au,50000,30,2023-02-28,5,1
140,Daintree Solutions,MFG000140,Electronics,Silver,18,accounts@daintree15.com.au,500000,30,2021-08-21,84,1
141,Murray Solutions,MFG000141,Agriculture,Silver,2,accounts@murray3.com.au,250000,30,2022-11-24,108,1
142,Hunter Supply Co,MFG000142,Electronics,Bronze,6,accounts@hunter27.com.au,25000,30,2018-03-27,132,1
143,Swan Enterprises,MFG000143,Grocery,Bronze,16,accounts@swan5.com.au,100000,30,2023-03-24,35,1
144,Tanami Solutions,MFG000144,FMCG,Silver,11,accounts@tanami62.com.au,25000,45,2022-08-23,146,1
145,Bellarine Partners,MFG000145,Healthcare,Bronze,45,accounts@bellarine51.com.au,500000,14,2022-05-28,108,1
146,Redgum Holdings,MFG000146,Construction,Gold,4,accounts@redgum72.com.au,500000,30,2021-04-18,206,1
147,Kimberley Manufacturing,MFG000147,Industrial,Silver,25,accounts@kimberley31.com.au,500000,45,2023-08-24,64,1
148,Wattle Components,MFG000148,Hospitality,Bronze,4,accounts@wattle80.com.au,25000,30,2019-06-22,241,1
149,Grampians Merchants,MFG000149,Hospitality,Silver,40,accounts@grampians36.com.au,50000,30,2024-03-07,208,1
150,Mornington Agencies,MFG000150,,Bronze,49,accounts@mornington85.com.au,1000000,30,2021-12-30,213,1
151,Grampians Industries,MFG000151,Hospitality,Silver,42,accounts@grampians32.com.au,100000,45,2020-06-14,190,1
152,Coolabah Manufacturing,MFG000152,Hospitality,Bronze,21,accounts@coolabah16.com.au,25000,14,2019-01-09,227,1
153,Kimberley Wholesale,MFG000153,Hospitality,Bronze,14,accounts@kimberley71.com.au,50000,60,2019-09-28,234,1
154,Bellarine Traders,MFG000154,Electronics,Gold,18,accounts@bellarine47.com.au,25000,45,2021-05-09,104,1
155,Wattle Holdings,MFG000155,Industrial,Bronze,34,accounts@wattle96.com.au,50000,30,2023-02-14,84,1
156,Mornington Provisions,MFG000156,Hospitality,Silver,36,accounts@mornington57.com.au,25000,30,2020-02-06,5,1
157,Torrens Partners,MFG000157,Mining Services,Gold,16,accounts@torrens40.com.au,100000,60,2022-01-29,137,1
158,Coolabah Solutions,MFG000158,Hospitality,Bronze,13,accounts@coolabah74.com.au,25000,45,2024-05-07,241,1
159,Grampians Exports,MFG000159,Healthcare,Bronze,27,accounts@grampians5.com.au,100000,14,2018-01-02,64,1
160,Flinders Components,MFG000160,Retail,Bronze,6,accounts@flinders36.com.au,25000,14,2024-05-15,137,1
161,Derwent Merchants,MFG000161,Apparel,Gold,11,accounts@derwent71.com.au,25000,45,2023-03-02,123,1
162,Bellarine Merchants,MFG000162,Grocery,Platinum,44,accounts@bellarine24.com.au,25000,45,2021-04-15,167,1
163,Barossa Logistics Partners,MFG000163,Electronics,Bronze,43,accounts@barossa91.com.au,100000,30,2024-06-15,56,1
164,Brisbane River Commodities,MFG000164,Mining Services,Bronze,15,accounts@brisbane43.com.au,25000,30,2019-07-19,137,1
165,Swan Imports,MFG000165,Agriculture,Platinum,48,accounts@swan92.com.au,25000,14,2018-03-14,167,1
166,Mallee Logistics Partners,MFG000166,Construction,Bronze,36,accounts@mallee29.com.au,25000,45,2019-11-28,244,1
167,Torrens Wholesale,MFG000167,Grocery,Bronze,49,accounts@torrens29.com.au,100000,30,2021-11-21,123,1
168,Yarra Logistics Partners,MFG000168,Hospitality,Bronze,20,accounts@yarra90.com.au,100000,60,2021-02-20,190,1
169,Kimberley Warehousing,MFG000169,Grocery,Bronze,27,accounts@kimberley79.com.au,50000,60,2020-10-29,104,1
170,Nullarbor Trading,MFG000170,Apparel,Bronze,21,accounts@nullarbor93.com.au,25000,30,2022-07-26,29,1
171,Redgum Distribution,MFG000171,Retail,Gold,17,accounts@redgum45.com.au,500000,14,2024-07-09,256,1
172,Redgum Agencies,MFG000172,Apparel,Bronze,19,accounts@redgum87.com.au,100000,45,2021-09-02,256,1
173,Daintree Holdings,MFG000173,Industrial,Silver,33,accounts@daintree95.com.au,500000,14,2020-08-24,12,1
174,Sunraysia Industries,MFG000174,FMCG,Bronze,4,accounts@sunraysia42.com.au,50000,30,2019-09-12,256,1
175,Mallee Wholesale,MFG000175,Grocery,Gold,33,accounts@mallee19.com.au,100000,45,2021-10-26,68,1
176,Barossa Wholesale,MFG000176,Apparel,Silver,23,accounts@barossa33.com.au,250000,60,2023-07-29,190,1
177,Kingsford Distribution,MFG000177,Healthcare,Silver,35,accounts@kingsford51.com.au,250000,14,2023-07-30,234,1
178,Mornington Traders,MFG000178,Industrial,Silver,41,accounts@mornington50.com.au,50000,45,2021-07-15,171,1
179,Derwent Commodities,MFG000179,Mining Services,Silver,21,accounts@derwent30.com.au,50000,30,2021-08-01,64,1
180,Arnhem Imports,MFG000180,Healthcare,Silver,29,accounts@arnhem65.com.au,25000,30,2020-05-08,177,1
181,Kingsford Manufacturing,MFG000181,Apparel,Silver,22,accounts@kingsford54.com.au,500000,30,2020-07-23,137,1
182,Harbour Partners,MFG000182,Healthcare,Bronze,33,accounts@harbour91.com.au,250000,60,2024-04-03,241,1
183,Kingsford Trading,MFG000183,Mining Services,Bronze,32,accounts@kingsford81.com.au,500000,14,2020-06-22,208,1
184,Blackwood Enterprises,MFG000184,Electronics,Bronze,38,accounts@blackwood87.com.au,250000,60,2019-03-08,238,1
185,Mornington Warehousing,MFG000185,Retail,Bronze,31,accounts@mornington79.com.au,50000,30,2021-11-13,234,1
186,Pilbara Solutions,MFG000186,,Silver,13,accounts@pilbara35.com.au,250000,60,2018-07-05,208,1
187,Murray Commodities,MFG000187,Apparel,Gold,17,accounts@murray65.com.au,50000,30,2022-09-10,234,1
188,Brisbane River Holdings,MFG000188,Grocery,Gold,16,accounts@brisbane54.com.au,50000,45,2018-04-18,35,1
189,Blackwood Traders,MFG000189,Mining Services,Platinum,39,accounts@blackwood10.com.au,100000,30,2022-09-08,97,1
190,Yarra Foods,MFG000190,Grocery,Bronze,12,accounts@yarra39.com.au,500000,45,2024-01-22,227,1
191,Gippsland Retail Group,MFG000191,Hospitality,Gold,11,accounts@gippsland68.com.au,500000,30,2019-09-17,241,1
192,Yarra Merchants,MFG000192,FMCG,Silver,18,accounts@yarra46.com.au,50000,30,2018-07-15,223,1
193,Pilbara Imports,MFG000193,Retail,Silver,34,accounts@pilbara67.com.au,50000,30,2021-07-15,14,1
194,Flinders Manufacturing,MFG000194,Agriculture,Silver,35,accounts@flinders47.com.au,25000,30,2021-08-18,137,1
195,Brisbane River Freight Services,MFG000195,,Bronze,42,accounts@brisbane66.com.au,50000,14,2020-07-11,15,1
196,Redgum Trading,MFG000196,Grocery,Bronze,37,accounts@redgum45.com.au,50000,14,2019-03-31,29,1
197,Redgum Components,MFG000197,Automotive,Gold,26,accounts@redgum52.com.au,25000,14,2020-11-02,256,1
198,Daintree Partners,MFG000198,Mining Services,Silver,7,accounts@daintree60.com.au,25000,14,2019-03-22,5,1
199,Barossa Warehousing,MFG000199,Agriculture,Bronze,18,accounts@barossa64.com.au,1000000,60,2023-01-12,238,1
200,Murray Trading,MFG000200,Grocery,Bronze,41,accounts@murray99.com.au,250000,30,2022-04-03,68,1
201,Nullarbor Solutions,MFG000201,Agriculture,Gold,26,accounts@nullarbor23.com.au,25000,30,2021-08-01,30,1
202,Barossa Traders,MFG000202,Healthcare,Gold,42,accounts@barossa80.com.au,250000,60,2020-03-16,177,1
203,Pilbara Holdings,MFG000203,FMCG,Silver,8,accounts@pilbara82.com.au,50000,14,2018-10-12,14,1
204,Kimberley Holdings,MFG000204,Hospitality,Bronze,21,accounts@kimberley43.com.au,25000,30,2020-08-14,14,1
205,Wattle Solutions,MFG000205,Automotive,Bronze,25,accounts@wattle5.com.au,25000,30,2023-04-01,15,1
206,Banksia Merchants,MFG000206,Mining Services,Platinum,18,accounts@banksia96.com.au,500000,14,2024-05-21,5,1
207,Daintree Manufacturing,MFG000207,Hospitality,Bronze,12,accounts@daintree5.com.au,100000,30,2019-08-07,146,1
208,Mallee Retail Group,MFG000208,Apparel,Bronze,16,accounts@mallee79.com.au,50000,60,2021-01-12,15,1
209,Brisbane River Retail Group,MFG000209,Hospitality,Silver,49,accounts@brisbane2.com.au,250000,30,2020-07-04,108,1
210,Arnhem Commodities,MFG000210,Construction,Silver,38,accounts@arnhem39.com.au,25000,45,2020-09-25,154,1
211,Grampians Manufacturing,MFG000211,,Bronze,39,accounts@grampians45.com.au,1000000,30,2020-12-14,64,1
212,Daintree Foods,MFG000212,Electronics,Silver,4,accounts@daintree82.com.au,50000,45,2022-03-13,227,1
213,Riverina Supply Co,MFG000213,Apparel,Bronze,12,accounts@riverina41.com.au,25000,60,2023-06-05,171,1
214,Kakadu Warehousing,MFG000214,Automotive,Bronze,40,accounts@kakadu88.com.au,25000,30,2018-07-02,136,1
215,Murray Agencies,MFG000215,FMCG,Bronze,7,accounts@murray50.com.au,100000,60,2023-02-21,64,1
216,Banksia Solutions,MFG000216,Electronics,Gold,22,accounts@banksia75.com.au,250000,60,2022-11-29,207,1
217,Kimberley Retail Group,MFG000217,Industrial,Silver,26,accounts@kimberley23.com.au,50000,30,2024-06-14,146,1
218,Sunraysia Logistics Partners,MFG000218,Hospitality,Gold,50,accounts@sunraysia17.com.au,25000,30,2021-01-09,97,1
219,Sunraysia Merchants,MFG000219,Apparel,Bronze,5,accounts@sunraysia92.com.au,50000,60,2024-06-02,136,1
220,Yarra Provisions,MFG000220,Grocery,Platinum,44,accounts@yarra15.com.au,500000,30,2023-06-20,146,1
221,Harbour Exports,MFG000221,Mining Services,Bronze,4,accounts@harbour70.com.au,100000,30,2022-08-26,177,1
222,Barossa Manufacturing,MFG000222,Agriculture,Silver,2,accounts@barossa34.com.au,50000,30,2020-05-22,177,1
223,Mallee Merchants,MFG000223,Retail,Bronze,14,accounts@mallee69.com.au,50000,30,2020-12-24,84,1
224,Nullarbor Agencies,MFG000224,Agriculture,Silver,13,accounts@nullarbor64.com.au,250000,60,2019-12-16,167,1
225,Kingsford Wholesale,MFG000225,Electronics,Silver,11,accounts@kingsford56.com.au,100000,45,2023-08-15,104,1
226,Riverina Components,MFG000226,Grocery,Platinum,48,accounts@riverina93.com.au,100000,30,2022-06-19,190,1
227,Gippsland Foods,MFG000227,Healthcare,Platinum,26,accounts@gippsland15.com.au,250000,45,2021-09-25,137,1
228,Murray Traders,MFG000228,Retail,Gold,1,accounts@murray49.com.au,250000,30,2018-08-24,234,1
229,Harbour Supply Co,MFG000229,Healthcare,Silver,8,accounts@harbour96.com.au,50000,60,2020-07-26,104,1
230,Gippsland Freight Services,MFG000230,Mining Services,Bronze,10,accounts@gippsland20.com.au,50000,30,2021-08-17,14,1
231,Riverina Industries,MFG000231,Apparel,Bronze,34,accounts@riverina44.com.au,50000,14,2019-08-18,29,1
232,Grampians Warehousing,MFG000232,Grocery,Bronze,31,accounts@grampians81.com.au,1000000,30,2019-06-05,177,1
233,Coolabah Foods,MFG000233,Construction,Silver,21,accounts@coolabah37.com.au,500000,60,2023-01-19,56,1
234,Banksia Commodities,MFG000234,Automotive,Gold,32,accounts@banksia41.com.au,25000,60,2019-04-01,234,1
235,Banksia Trading,MFG000235,,Silver,8,accounts@banksia29.com.au,250000,30,2021-04-10,177,1
236,Redgum Supply Co,MFG000236,Healthcare,Bronze,36,accounts@redgum35.com.au,50000,30,2020-09-14,35,1
237,Kingsford Logistics Partners,MFG000237,Mining Services,Silver,43,accounts@kingsford38.com.au,100000,30,2021-02-18,97,1
