vehicle_id,registration,vehicle_type,vehicle_class,capacity_kg,capacity_pallets,model_year,home_facility_id,carrier_id,euro_emission_std,is_active
31,2XN-613,Van 3t,Van,3000,12,2018,10,3,Euro 6,1
32,1KV-117,Refrigerated Rigid,Rigid,10000,40,2018,21,7,Euro 6,1
33,1SQ-957,Van 3t,Van,3000,12,2016,4,2,Euro 5,1
34,1SH-751,Van 3t,Van,3000,12,2018,25,2,Euro 5,1
35,1GQ-780,Semi Trailer,Articulated,25000,34,2019,32,1,Euro 6,1
36,2EC-910,Road Train,Articulated,78000,90,2024,31,1,Euro 6,1
37,1BQ-826,Rigid 12t,Rigid,12000,48,2017,31,3,Euro 6,1
38,2FU-790,Rigid 8t,Rigid,8000,32,2024,45,2,Euro 5,1
39,1GO-791,Semi Trailer,Articulated,25000,34,2023,12,7,Euro 5,1
40,1NQ-852,B-Double,Articulated,42000,60,2021,48,1,Euro 5,1
41,2IX-232,B-Double,Articulated,42000,60,2016,39,7,Euro 6,1
42,2YL-430,Rigid 12t,Rigid,12000,48,2022,36,1,Euro 5,1
43,2JP-620,Rigid 12t,Rigid,12000,48,2023,3,1,Euro 6,1
44,1LM-730,Road Train,Articulated,78000,90,2018,45,3,Euro 6,1
45,1WW-703,Rigid 12t,Rigid,12000,48,2017,29,5,Euro 6,1
46,1JF-423,B-Double,Articulated,42000,60,2018,3,3,Euro 6,1
47,1GX-465,Refrigerated Rigid,Rigid,10000,40,2019,1,2,Euro 6,1
48,1DA-809,Road Train,Articulated,78000,90,2014,8,2,Euro 5,1
49,2VT-215,Van 3t,Van,3000,12,2023,6,2,Euro 4,1
50,2BG-409,Road Train,Articulated,78000,90,2016,12,1,Euro 5,1
51,2ZM-639,Semi Trailer,Articulated,25000,34,2024,40,2,Euro 4,1
52,2LE-281,B-Double,Articulated,42000,60,2019,41,1,Euro 6,1
53,2BU-602,Rigid 12t,Rigid,12000,48,2023,2,3,Euro 4,1
54,2HO-735,B-Double,Articulated,42000,60,2023,47,9,Euro 5,1
55,1XL-188,Road Train,Articulated,78000,90,2016,13,1,Euro 6,1
56,1SJ-275,B-Double,Articulated,42000,60,2025,15,3,Euro 6,1
57,1HI-825,Road Train,Articulated,78000,90,2014,45,9,Euro 6,1
58,1WN-187,Van 3t,Van,3000,12,2021,2,2,Euro 5,1
59,1TR-424,Refrigerated Rigid,Rigid,10000,40,2019,39,5,Euro 6,1
60,2QQ-545,B-Double,Articulated,42000,60,2023,43,1,Euro 6,1
61,1UF-519,Refrigerated Rigid,Rigid,10000,40,2016,25,9,Euro 5,1
62,1SI-539,Van 3t,Van,3000,12,2017,4,9,Euro 5,1
63,1JA-703,Van 3t,Van,3000,12,2018,43,5,Euro 5,1
64,1RL-408,Refrigerated Rigid,Rigid,10000,40,2019,12,7,Euro 4,1
65,1KQ-216,Van 3t,Van,3000,12,2020,23,2,Euro 6,1
66,2QW-251,Semi Trailer,Articulated,25000,34,2019,41,2,Euro 5,1
67,1PV-202,Semi Trailer,Articulated,25000,34,2015,3,8,Euro 5,1
68,1OW-883,Rigid 8t,Rigid,8000,32,2014,16,2,Euro 4,1
69,2SL-272,Rigid 12t,Rigid,12000,48,2019,24,1,Euro 6,1
70,2ET-306,Refrigerated Rigid,Rigid,10000,40,2018,41,1,Euro 6,1
71,2XC-866,Semi Trailer,Articulated,25000,34,2017,46,1,Euro 6,1
72,2HY-626,Refrigerated Rigid,Rigid,10000,40,2021,25,7,Euro 6,1
73,2DZ-104,Refrigerated Rigid,Rigid,10000,40,2024,36,2,Euro 4,1
74,2WU-848,Rigid 12t,Rigid,12000,48,2019,14,2,Euro 5,1
75,1AK-693,Rigid 12t,Rigid,12000,48,2023,26,4,Euro 4,1
76,1UB-955,Semi Trailer,Articulated,25000,34,2019,28,1,Euro 6,1
77,1KO-975,Refrigerated Rigid,Rigid,10000,40,2021,26,1,Euro 5,1
78,1RV-381,Van 3t,Van,3000,12,2019,28,6,Euro 6,1
79,2VR-267,Refrigerated Rigid,Rigid,10000,40,2016,31,1,Euro 6,1
80,2SW-471,Refrigerated Rigid,Rigid,10000,40,2019,23,2,Euro 5,1
81,1UP-466,Rigid 12t,Rigid,12000,48,2017,1,2,Euro 6,1
82,2KI-985,Rigid 12t,Rigid,12000,48,2021,33,7,Euro 5,1
83,1ZP-599,Van 3t,Van,3000,12,2019,26,1,Euro 5,1
84,1SX-563,Rigid 12t,Rigid,12000,48,2016,38,2,Euro 5,1
85,2LO-558,Rigid 12t,Rigid,12000,48,2019,3,2,Euro 4,1
86,1TU-563,Rigid 8t,Rigid,8000,32,2021,19,1,Euro 5,1
87,2UN-475,Rigid 8t,Rigid,8000,32,2014,26,1,Euro 5,1
88,2XQ-400,Refrigerated Rigid,Rigid,10000,40,2017,1,1,Euro 5,1
89,1YU-673,Van 3t,Van,3000,12,2023,44,8,Euro 5,1
90,1EF-558,B-Double,Articulated,42000,60,2024,19,2,Euro 6,1
91,2LR-504,Rigid 8t,Rigid,8000,32,2025,50,2,Euro 5,1
92,2JX-534,Van 3t,Van,3000,12,2020,36,5,Euro 6,1
93,1BL-231,Road Train,Articulated,78000,90,2021,33,4,Euro 5,1
94,2PB-411,Road Train,Articulated,78000,90,2018,40,1,Euro 5,1
95,2IK-850,Semi Trailer,Articulated,25000,34,2024,15,10,Euro 5,1
96,1CC-630,B-Double,Articulated,42000,60,2018,25,1,Euro 5,1
97,2KH-259,Semi Trailer,Articulated,25000,34,2025,9,4,Euro 6,1
98,2PW-129,Refrigerated Rigid,Rigid,10000,40,2019,31,1,Euro 5,1
99,2ZJ-905,Semi Trailer,Articulated,25000,34,2014,10,1,Euro 6,1
100,1YX-890,Van 3t,Van,3000,12,2022,50,7,Euro 6,1
101,1DP-894,B-Double,Articulated,42000,60,2015,39,7,Euro 6,1
102,1GA-689,Road Train,Articulated,78000,90,2017,38,3,Euro 5,1
103,2BK-155,Refrigerated Rigid,Rigid,10000,40,2020,32,2,Euro 6,1
104,2UF-413,Road Train,Articulated,78000,90,2024,22,5,Euro 4,1
105,2YQ-716,Refrigerated Rigid,Rigid,10000,40,2025,24,6,Euro 5,1
106,2RF-602,Road Train,Articulated,78000,90,2014,47,1,Euro 5,1
107,1FD-400,B-Double,Articulated,42000,60,2016,20,2,Euro 6,1
108,1LA-156,Road Train,Articulated,78000,90,2014,3,1,Euro 6,1
109,1CF-468,Semi Trailer,Articulated,25000,34,2014,20,2,Euro 4,1
110,1UT-619,Refrigerated Rigid,Rigid,10000,40,2018,32,5,Euro 6,1
111,1IF-895,Road Train,Articulated,78000,90,2018,14,1,Euro 4,1
112,1DO-137,Rigid 12t,Rigid,12000,48,2020,50,10,Euro 4,1
113,1KN-190,Semi Trailer,Articulated,25000,34,2022,15,1,Euro 4,1
114,2UA-185,Van 3t,Van,3000,12,2023,5,1,Euro 5,1
115,1WO-942,Refrigerated Rigid,Rigid,10000,40,2016,24,2,Euro 4,1
116,1EE-807,Refrigerated Rigid,Rigid,10000,40,2017,19,2,Euro 6,1
117,2UC-486,B-Double,Articulated,42000,60,2016,10,5,Euro 5,1
118,1KC-580,Rigid 12t,Rigid,12000,48,2014,9,2,Euro 5,1
119,2DR-640,Rigid 12t,Rigid,12000,48,2023,21,3,Euro 6,1
120,1OD-856,Refrigerated Rigid,Rigid,10000,40,2022,20,10,Euro 4,1
121,1EK-437,Refrigerated Rigid,Rigid,10000,40,2018,32,9,Euro 5,1
122,2EZ-474,Semi Trailer,Articulated,25000,34,2015,49,1,Euro 4,1
123,2BV-844,Road Train,Articulated,78000,90,2021,45,1,Euro 5,1
124,1ZB-523,Refrigerated Rigid,Rigid,10000,40,2021,50,2,Euro 5,1
125,1QB-606,Road Train,Articulated,78000,90,2019,24,5,Euro 5,1
126,1TU-945,Rigid 12t,Rigid,12000,48,2019,39,7,Euro 5,1
127,2BJ-487,Van 3t,Van,3000,12,2016,42,2,Euro 5,1
128,1OX-545,Refrigerated Rigid,Rigid,10000,40,2014,26,9,Euro 6,1
129,2GI-471,Refrigerated Rigid,Rigid,10000,40,2019,47,4,Euro 6,1
130,1KW-921,Rigid 12t,Rigid,12000,48,2022,16,10,Euro 5,1
131,2UQ-751,Refrigerated Rigid,Rigid,10000,40,2015,44,10,Euro 5,1
132,2EZ-292,Refrigerated Rigid,Rigid,10000,40,2021,25,1,Euro 5,1
133,2XF-590,B-Double,Articulated,42000,60,2025,13,2,Euro 5,1
134,2KF-824,Semi Trailer,Articulated,25000,34,2024,29,2,Euro 6,1
135,2BS-450,Rigid 12t,Rigid,12000,48,2018,39,1,Euro 4,1
136,2GC-287,Van 3t,Van,3000,12,2015,16,3,Euro 5,1
137,1VI-250,Road Train,Articulated,78000,90,2014,13,3,Euro 5,1
138,1OS-469,B-Double,Articulated,42000,60,2018,45,2,Euro 5,1
139,2AH-795,Van 3t,Van,3000,12,2022,9,1,Euro 6,1
140,2ER-539,Rigid 12t,Rigid,12000,48,2022,24,1,Euro 4,1
141,1MZ-249,Refrigerated Rigid,Rigid,10000,40,2021,28,10,Euro 6,1
142,2ZE-665,Rigid 12t,Rigid,12000,48,2023,37,6,Euro 4,1
143,2TL-606,Van 3t,Van,3000,12,2024,8,2,Euro 6,1
144,1YH-669,Refrigerated Rigid,Rigid,10000,40,2017,17,9,Euro 4,1
145,2GJ-810,Rigid 12t,Rigid,12000,48,2017,8,10,Euro 6,1
146,1EY-900,Semi Trailer,Articulated,25000,34,2020,24,4,Euro 5,1
147,1RV-538,Rigid 8t,Rigid,8000,32,2018,19,8,Euro 6,1
148,1TB-389,Road Train,Articulated,78000,90,2015,7,2,Euro 6,1
149,1SF-523,Rigid 8t,Rigid,8000,32,2019,29,7,Euro 4,1
150,2HT-165,Road Train,Articulated,78000,90,2019,27,1,Euro 5,1
151,1IB-508,Road Train,Articulated,78000,90,2017,26,2,Euro 5,1
152,2FF-599,Road Train,Articulated,78000,90,2014,40,4,Euro 5,1
153,1CO-975,Van 3t,Van,3000,12,2015,6,1,Euro 6,1
154,1BL-663,Van 3t,Van,3000,12,2021,47,2,Euro 6,1
155,1KP-786,Refrigerated Rigid,Rigid,10000,40,2018,18,1,Euro 6,1
156,2YL-721,Rigid 8t,Rigid,8000,32,2017,18,6,Euro 5,1
157,1MT-698,Van 3t,Van,3000,12,2025,9,5,Euro 5,1
158,2TW-162,Van 3t,Van,3000,12,2018,48,2,Euro 5,1
159,1KY-307,Van 3t,Van,3000,12,2018,47,4,Euro 5,1
160,2JO-361,Refrigerated Rigid,Rigid,10000,40,2016,19,1,Euro 5,1
161,1UP-758,Semi Trailer,Articulated,25000,34,2024,20,4,Euro 5,1
162,1VT-406,Rigid 8t,Rigid,8000,32,2025,46,1,Euro 5,1
163,1TP-725,Rigid 12t,Rigid,12000,48,2025,30,4,Euro 4,1
164,2SF-582,Rigid 8t,Rigid,8000,32,2024,9,2,Euro 6,1
165,1VR-666,Refrigerated Rigid,Rigid,10000,40,2015,29,2,Euro 5,1
166,1BP-753,Rigid 8t,Rigid,8000,32,2014,30,1,Euro 6,1
167,2IY-447,Semi Trailer,Articulated,25000,34,2023,33,3,Euro 6,1
168,2DU-496,Rigid 8t,Rigid,8000,32,2018,49,4,Euro 6,1
169,2QZ-588,Van 3t,Van,3000,12,2017,20,8,Euro 5,1
170,1GN-449,Rigid 12t,Rigid,12000,48,2023,4,9,Euro 4,1
171,1XR-682,B-Double,Articulated,42000,60,2017,34,3,Euro 5,1
172,1IL-523,Refrigerated Rigid,Rigid,10000,40,2014,40,1,Euro 6,1
173,1KG-206,Road Train,Articulated,78000,90,2020,45,7,Euro 6,1
174,1QK-323,Road Train,Articulated,78000,90,2023,2,4,Euro 5,1
175,1KE-358,Van 3t,Van,3000,12,2016,33,1,Euro 4,1
176,2QG-128,Rigid 12t,Rigid,12000,48,2014,42,1,Euro 4,1
177,2JN-105,Semi Trailer,Articulated,25000,34,2016,39,1,Euro 4,1
178,1VN-735,Semi Trailer,Articulated,25000,34,2018,23,10,Euro 5,1
179,1SC-157,Rigid 12t,Rigid,12000,48,2017,12,2,Euro 5,1
180,1MI-265,Semi Trailer,Articulated,25000,34,2015,27,9,Euro 5,1
181,1PB-532,B-Double,Articulated,42000,60,2021,37,6,Euro 5,1
182,2GZ-675,Semi Trailer,Articulated,25000,34,2018,39,3,Euro 5,1
183,1JZ-162,Refrigerated Rigid,Rigid,10000,40,2024,20,8,Euro 5,1
184,2DG-728,Semi Trailer,Articulated,25000,34,2022,8,5,Euro 6,1
185,2FU-640,Refrigerated Rigid,Rigid,10000,40,2014,50,2,Euro 6,1
186,2OU-648,Road Train,Articulated,78000,90,2018,14,3,Euro 5,1
187,2JV-912,Van 3t,Van,3000,12,2019,10,1,Euro 4,1
188,2XT-605,Road Train,Articulated,78000,90,2017,33,3,Euro 5,1
189,2KV-379,Van 3t,Van,3000,12,2021,10,1,Euro 6,1
190,2DS-588,B-Double,Articulated,42000,60,2016,45,2,Euro 5,1
191,2JK-506,Refrigerated Rigid,Rigid,10000,40,2015,24,2,Euro 4,1
192,2ID-836,Road Train,Articulated,78000,90,2016,39,2,Euro 6,1
193,1IJ-651,Van 3t,Van,3000,12,2015,24,1,Euro 4,1
194,2JH-372,Semi Trailer,Articulated,25000,34,2020,9,8,Euro 6,1
195,1LU-867,Rigid 12t,Rigid,12000,48,2019,17,7,Euro 5,1
196,1VC-549,Semi Trailer,Articulated,25000,34,2014,38,8,Euro 4,1
197,1RJ-971,B-Double,Articulated,42000,60,2018,17,6,Euro 5,1
198,1ZB-973,Rigid 12t,Rigid,12000,48,2017,12,2,Euro 4,1
199,2DC-504,Van 3t,Van,3000,12,2016,6,8,Euro 5,1
200,2OD-867,Semi Trailer,Articulated,25000,34,2019,11,3,Euro 6,1
201,1RB-916,Van 3t,Van,3000,12,2020,22,4,Euro 5,1
202,2IU-526,Van 3t,Van,3000,12,2024,50,1,Euro 5,1
203,2DC-259,Road Train,Articulated,78000,90,2017,2,4,Euro 5,1
204,2EA-918,B-Double,Articulated,42000,60,2014,3,4,Euro 5,1
205,1QG-665,Refrigerated Rigid,Rigid,10000,40,2021,4,7,Euro 4,1
206,2KM-318,Road Train,Articulated,78000,90,2015,26,2,Euro 5,1
207,1MA-615,Road Train,Articulated,78000,90,2020,8,2,Euro 5,1
208,1QT-657,Rigid 8t,Rigid,8000,32,2022,2,1,Euro 6,1
209,1TG-215,Refrigerated Rigid,Rigid,10000,40,2014,7,8,Euro 5,1
210,2EK-175,Road Train,Articulated,78000,90,2017,29,1,Euro 5,1
211,1RC-505,Semi Trailer,Articulated,25000,34,2023,18,4,Euro 5,1
212,1EJ-770,Rigid 12t,Rigid,12000,48,2021,26,5,Euro 4,1
213,2QZ-694,Rigid 8t,Rigid,8000,32,2014,14,5,Euro 5,1
214,2QN-414,Van 3t,Van,3000,12,2022,42,2,Euro 6,1
215,1CW-712,Semi Trailer,Articulated,25000,34,2023,32,1,Euro 5,1
216,2OV-902,Semi Trailer,Articulated,25000,34,2021,29,5,Euro 6,1
217,1JS-157,Semi Trailer,Articulated,25000,34,2024,45,4,Euro 5,1
218,2AJ-100,Semi Trailer,Articulated,25000,34,2018,37,6,Euro 5,1
219,1BU-178,Rigid 8t,Rigid,8000,32,2018,19,2,Euro 6,1
220,1MM-423,Refrigerated Rigid,Rigid,10000,40,2019,42,2,Euro 5,1
221,2DA-604,Road Train,Articulated,78000,90,2015,14,4,Euro 6,1
222,1GR-493,Semi Trailer,Articulated,25000,34,2025,49,1,Euro 5,1
223,2DS-415,Road Train,Articulated,78000,90,2016,35,2,Euro 5,1
224,2HU-902,Rigid 8t,Rigid,8000,32,2025,34,3,Euro 5,1
225,2CV-982,Van 3t,Van,3000,12,2014,11,1,Euro 4,1
226,2EM-552,Rigid 12t,Rigid,12000,48,2016,4,6,Euro 6,1
227,1UN-174,Rigid 8t,Rigid,8000,32,2021,28,10,Euro 6,1
228,1CE-823,Rigid 8t,Rigid,8000,32,2019,8,4,Euro 6,1
229,2YS-136,Van 3t,Van,3000,12,2021,50,5,Euro 4,1
230,1TL-643,Road Train,Articulated,78000,90,2024,5,2,Euro 5,1
231,1HL-731,Road Train,Articulated,78000,90,2015,11,2,Euro 6,1
232,2NL-263,Road Train,Articulated,78000,90,2025,25,3,Euro 6,1
233,1AE-230,Rigid 8t,Rigid,8000,32,2022,49,8,Euro 6,1
234,2KI-696,B-Double,Articulated,42000,60,2022,23,10,Euro 5,1
235,1OD-965,Rigid 8t,Rigid,8000,32,2025,37,1,Euro 5,1
236,2KB-577,Rigid 12t,Rigid,12000,48,2017,45,2,Euro 6,1
237,1DE-979,Road Train,Articulated,78000,90,2023,29,5,Euro 5,1
238,1SB-660,Semi Trailer,Articulated,25000,34,2022,34,5,Euro 6,1
239,1OX-525,Road Train,Articulated,78000,90,2014,37,2,Euro 5,1
240,2JR-952,Rigid 12t,Rigid,12000,48,2022,39,4,Euro 5,1
241,2OA-830,Refrigerated Rigid,Rigid,10000,40,2025,26,6,Euro 6,1
242,2SR-843,Rigid 12t,Rigid,12000,48,2019,17,6,Euro 4,1
243,2GB-811,B-Double,Articulated,42000,60,2021,19,9,Euro 5,1
244,2UZ-438,Semi Trailer,Articulated,25000,34,2023,36,5,Euro 5,1
245,2ZO-223,Van 3t,Van,3000,12,2025,21,9,Euro 5,1
246,2AQ-884,Refrigerated Rigid,Rigid,10000,40,2024,50,2,Euro 4,1
247,2GO-348,Rigid 8t,Rigid,8000,32,2022,2,1,Euro 5,1
248,2LL-473,Road Train,Articulated,78000,90,2021,48,2,Euro 4,1
249,2QB-167,Refrigerated Rigid,Rigid,10000,40,2018,25,4,Euro 6,1
250,1LR-396,B-Double,Articulated,42000,60,2024,25,1,Euro 5,1
251,1EF-221,Refrigerated Rigid,Rigid,10000,40,2016,49,2,Euro 5,1
252,1ST-298,Road Train,Articulated,78000,90,2014,48,3,Euro 6,1
253,1WW-152,Rigid 12t,Rigid,12000,48,2023,28,3,Euro 6,1
254,1KK-683,Road Train,Articulated,78000,90,2025,39,3,Euro 6,1
255,1LJ-905,Rigid 12t,Rigid,12000,48,2024,41,10,Euro 4,1
256,2JQ-631,Rigid 12t,Rigid,12000,48,2020,7,1,Euro 5,1
257,1YL-462,Refrigerated Rigid,Rigid,10000,40,2020,29,2,Euro 4,1
258,1JP-788,Semi Trailer,Articulated,25000,34,2016,2,2,Euro 5,1
259,1BV-535,Van 3t,Van,3000,12,2018,39,4,Euro 4,1
260,1HT-531,Road Train,Articulated,78000,90,2021,27,1,Euro 5,1
261,1KK-331,B-Double,Articulated,42000,60,2014,3,2,Euro 4,1
262,1HV-146,Van 3t,Van,3000,12,2022,4,10,Euro 4,1
263,1AE-440,Rigid 12t,Rigid,12000,48,2014,5,10,Euro 6,1
264,1QB-698,Semi Trailer,Articulated,25000,34,2014,34,7,Euro 5,1
265,1CF-137,Semi Trailer,Articulated,25000,34,2021,28,2,Euro 6,1
266,2BR-117,Rigid 12t,Rigid,12000,48,2019,30,1,Euro 6,1
267,2JM-419,Refrigerated Rigid,Rigid,10000,40,2018,5,2,Euro 5,1
268,1EV-710,Road Train,Articulated,78000,90,2014,47,1,Euro 6,1
269,2NW-321,Rigid 8t,Rigid,8000,32,2021,12,9,Euro 5,1
270,1IB-405,Road Train,Articulated,78000,90,2014,17,1,Euro 5,1
271,2AR-723,Semi Trailer,Articulated,25000,34,2014,27,2,Euro 5,1
272,1OM-398,Road Train,Articulated,78000,90,2016,13,2,Euro 5,1
273,1IP-208,Rigid 12t,Rigid,12000,48,2015,23,3,Euro 6,1
274,1LN-583,Rigid 8t,Rigid,8000,32,2023,35,1,Euro 6,1
275,1OG-270,Rigid 8t,Rigid,8000,32,2020,24,5,Euro 5,1
276,2NH-380,Refrigerated Rigid,Rigid,10000,40,2015,26,8,Euro 5,1
277,2OO-691,Van 3t,Van,3000,12,2016,21,1,Euro 4,1
278,2LD-957,Rigid 12t,Rigid,12000,48,2017,30,2,Euro 4,1
279,2LZ-731,Rigid 8t,Rigid,8000,32,2018,8,4,Euro 5,1
280,1IE-941,Rigid 8t,Rigid,8000,32,2014,43,2,Euro 5,1
281,1EX-238,B-Double,Articulated,42000,60,2022,40,3,Euro 6,1
282,1FD-371,Rigid 12t,Rigid,12000,48,2021,17,2,Euro 6,1
283,2JH-896,Semi Trailer,Articulated,25000,34,2024,26,9,Euro 4,1
284,2QK-950,Road Train,Articulated,78000,90,2024,25,2,Euro 4,1
285,2GQ-852,Semi Trailer,Articulated,25000,34,2019,10,2,Euro 6,1
286,2BJ-981,Refrigerated Rigid,Rigid,10000,40,2018,29,4,Euro 5,1
287,1FR-527,Rigid 12t,Rigid,12000,48,2022,1,4,Euro 6,1
288,1IS-975,Rigid 12t,Rigid,12000,48,2014,29,3,Euro 5,1
289,1ZR-411,B-Double,Articulated,42000,60,2016,38,4,Euro 4,1
290,2XI-696,Van 3t,Van,3000,12,2016,44,2,Euro 5,1
291,2FE-880,B-Double,Articulated,42000,60,2024,21,2,Euro 6,1
292,2JE-892,Rigid 8t,Rigid,8000,32,2022,32,2,Euro 4,1
293,1UD-571,Road Train,Articulated,78000,90,2023,1,2,Euro 5,1
294,1GC-184,B-Double,Articulated,42000,60,2022,20,9,Euro 5,1
295,2GJ-445,Refrigerated Rigid,Rigid,10000,40,2016,4,1,Euro 6,1
296,2CK-887,Rigid 12t,Rigid,12000,48,2016,32,1,Euro 6,1
297,1PW-602,Rigid 8t,Rigid,8000,32,2023,11,9,Euro 5,1
298,2XI-117,Semi Trailer,Articulated,25000,34,2022,1,3,Euro 4,1
299,2EE-297,Semi Trailer,Articulated,25000,34,2025,5,7,Euro 5,1
300,2QU-535,B-Double,Articulated,42000,60,2024,44,9,Euro 5,1
301,2DG-365,Semi Trailer,Articulated,25000,34,2022,32,9,Euro 5,1
302,1AO-375,Rigid 12t,Rigid,12000,48,2020,2,9,Euro 6,1
303,2YO-491,Semi Trailer,Articulated,25000,34,2019,44,3,Euro 6,1
304,1MB-207,Rigid 12t,Rigid,12000,48,2016,10,3,Euro 6,1
305,2YS-549,Road Train,Articulated,78000,90,2023,40,1,Euro 6,1
306,1MW-444,Rigid 12t,Rigid,12000,48,2014,19,1,Euro 5,1
307,2NN-196,Rigid 12t,Rigid,12000,48,2019,6,6,Euro 6,1
308,2WP-583,B-Double,Articulated,42000,60,2014,5,3,Euro 6,1
309,2NV-271,B-Double,Articulated,42000,60,2019,25,4,Euro 5,1
310,2MF-267,Semi Trailer,Articulated,25000,34,2016,21,10,Euro 5,1
311,1RT-239,Rigid 12t,Rigid,12000,48,2016,19,10,Euro 5,1
312,2TQ-389,Refrigerated Rigid,Rigid,10000,40,2025,46,8,Euro 6,1
313,1WM-582,Van 3t,Van,3000,12,2020,32,4,Euro 5,1
314,2MX-978,Van 3t,Van,3000,12,2014,43,3,Euro 4,1
315,2JH-465,Rigid 12t,Rigid,12000,48,2024,16,3,Euro 5,1
316,1UT-664,Semi Trailer,Articulated,25000,34,2016,26,1,Euro 6,1
317,1FQ-263,Semi Trailer,Articulated,25000,34,2020,43,2,Euro 6,1
318,2MS-660,Rigid 12t,Rigid,12000,48,2015,26,1,Euro 5,1
319,1FI-425,Rigid 8t,Rigid,8000,32,2017,7,1,Euro 6,1
320,2DA-762,Road Train,Articulated,78000,90,2021,34,10,Euro 5,1
321,1RF-264,Van 3t,Van,3000,12,2023,29,4,Euro 5,1
322,2QU-179,Semi Trailer,Articulated,25000,34,2016,25,10,Euro 5,1
323,2LH-172,Refrigerated Rigid,Rigid,10000,40,2022,7,1,Euro 5,1
324,1GW-209,Refrigerated Rigid,Rigid,10000,40,2021,45,2,Euro 5,1
325,2WL-494,Van 3t,Van,3000,12,2024,41,3,Euro 4,1
326,1ED-894,B-Double,Articulated,42000,60,2019,18,10,Euro 6,1
327,2CT-512,Semi Trailer,Articulated,25000,34,2017,19,2,Euro 6,1
328,1EH-292,Road Train,Articulated,78000,90,2018,46,4,Euro 4,1
329,2RD-445,Semi Trailer,Articulated,25000,34,2025,46,6,Euro 6,1
330,2JM-823,Van 3t,Van,3000,12,2016,1,10,Euro 6,1
331,2BB-841,Semi Trailer,Articulated,25000,34,2018,3,4,Euro 6,1
332,2DN-533,Rigid 12t,Rigid,12000,48,2018,34,2,Euro 5,1
333,2LM-915,Van 3t,Van,3000,12,2020,48,6,Euro 6,1
334,1ZC-441,Semi Trailer,Articulated,25000,34,2022,1,1,Euro 5,1
335,1JK-451,Rigid 8t,Rigid,8000,32,2016,8,4,Euro 5,1
336,1HC-335,Semi Trailer,Articulated,25000,34,2024,24,2,Euro 6,1
337,2NX-482,Road Train,Articulated,78000,90,2019,17,9,Euro 5,1
338,2WB-815,Refrigerated Rigid,Rigid,10000,40,2019,11,1,Euro 6,1
339,2AF-147,B-Double,Articulated,42000,60,2014,1,5,Euro 4,1
340,1BO-628,Refrigerated Rigid,Rigid,10000,40,2023,29,2,Euro 5,1
